"filename", "language", "JavaScript", "HTML", "JSON", "comment", "blank", "total"
"f:\Coding\MERN Stack\Backend\Websockets\Chat App\server\package-lock.json", "JSON", 0, 0, 2616, 0, 1, 2617
"f:\Coding\MERN Stack\Backend\Websockets\Chat App\server\package.json", "JSON", 0, 0, 37, 0, 1, 38
"f:\Coding\MERN Stack\Backend\Websockets\Chat App\server\src\constants\socketEvents.js", "JavaScript", 25, 0, 0, 0, 1, 26
"f:\Coding\MERN Stack\Backend\Websockets\Chat App\server\src\controllers\chat.controller.js", "JavaScript", 321, 0, 0, 2, 64, 387
"f:\Coding\MERN Stack\Backend\Websockets\Chat App\server\src\controllers\group.controller.js", "JavaScript", 223, 0, 0, 18, 65, 306
"f:\Coding\MERN Stack\Backend\Websockets\Chat App\server\src\controllers\message.controller.js", "JavaScript", 115, 0, 0, 0, 35, 150
"f:\Coding\MERN Stack\Backend\Websockets\Chat App\server\src\controllers\user.controller.js", "JavaScript", 731, 0, 0, 31, 171, 933
"f:\Coding\MERN Stack\Backend\Websockets\Chat App\server\src\db\db.js", "JavaScript", 14, 0, 0, 0, 3, 17
"f:\Coding\MERN Stack\Backend\Websockets\Chat App\server\src\index.js", "JavaScript", 10, 0, 0, 0, 3, 13
"f:\Coding\MERN Stack\Backend\Websockets\Chat App\server\src\middlewares\adminPermission.middleware.js", "JavaScript", 21, 0, 0, 0, 6, 27
"f:\Coding\MERN Stack\Backend\Websockets\Chat App\server\src\middlewares\draftImage.middleware.js", "JavaScript", 15, 0, 0, 0, 2, 17
"f:\Coding\MERN Stack\Backend\Websockets\Chat App\server\src\middlewares\draftOwner.middleware.js", "JavaScript", 23, 0, 0, 0, 8, 31
"f:\Coding\MERN Stack\Backend\Websockets\Chat App\server\src\middlewares\multer.middleware.js", "JavaScript", 10, 0, 0, 0, 2, 12
"f:\Coding\MERN Stack\Backend\Websockets\Chat App\server\src\middlewares\publicProfile.middleware.js", "JavaScript", 20, 0, 0, 0, 8, 28
"f:\Coding\MERN Stack\Backend\Websockets\Chat App\server\src\middlewares\userAuth.middleware.js", "JavaScript", 35, 0, 0, 2, 12, 49
"f:\Coding\MERN Stack\Backend\Websockets\Chat App\server\src\models\chat.model.js", "JavaScript", 43, 0, 0, 0, 16, 59
"f:\Coding\MERN Stack\Backend\Websockets\Chat App\server\src\models\message.model.js", "JavaScript", 79, 0, 0, 1, 8, 88
"f:\Coding\MERN Stack\Backend\Websockets\Chat App\server\src\models\user.model.js", "JavaScript", 73, 0, 0, 0, 10, 83
"f:\Coding\MERN Stack\Backend\Websockets\Chat App\server\src\redis\config.js", "JavaScript", 6, 0, 0, 2, 3, 11
"f:\Coding\MERN Stack\Backend\Websockets\Chat App\server\src\routes\chat.route.js", "JavaScript", 18, 0, 0, 2, 2, 22
"f:\Coding\MERN Stack\Backend\Websockets\Chat App\server\src\routes\group.route.js", "JavaScript", 24, 0, 0, 0, 4, 28
"f:\Coding\MERN Stack\Backend\Websockets\Chat App\server\src\routes\message.route.js", "JavaScript", 11, 0, 0, 2, 2, 15
"f:\Coding\MERN Stack\Backend\Websockets\Chat App\server\src\routes\ping.route.js", "JavaScript", 7, 0, 0, 0, 3, 10
"f:\Coding\MERN Stack\Backend\Websockets\Chat App\server\src\routes\user.route.js", "JavaScript", 47, 0, 0, 0, 4, 51
"f:\Coding\MERN Stack\Backend\Websockets\Chat App\server\src\server.js", "JavaScript", 34, 0, 0, 5, 15, 54
"f:\Coding\MERN Stack\Backend\Websockets\Chat App\server\src\services\brevoMail.service.js", "JavaScript", 21, 0, 0, 6, 8, 35
"f:\Coding\MERN Stack\Backend\Websockets\Chat App\server\src\services\cloudinary.service.js", "JavaScript", 44, 0, 0, 8, 15, 67
